Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website,COVID-19 Test Status,COVID-19 Telehealth Status,COVID-19 Telehealth Status Description
Park Slope Family Health Center at NYU Langone,"Sunset Park Health Council, Inc.",220 13th St,Brooklyn,NY,11215-4802,718-832-5980,http://nyulangone.org/locations/park-slope-family-health-center-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 10 School-Based Health Center,"Sunset Park Health Council, Inc.",511 7th Ave,Brooklyn,NY,11215-6126,718-788-6572,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
MS 88 School-Based Health Center,"Sunset Park Health Council, Inc.",544 7th Ave,Brooklyn,NY,11215-6140,718-788-6720,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Windsor Terrace Senior Center,"Sunset Park Health Council, Inc.",245 Prospect Park W,Brooklyn,NY,11215-5807,718-788-8077,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 172 School-Based Health Center,"Sunset Park Health Council, Inc.",825 4th Ave,Brooklyn,NY,11232-1701,718-965-3529,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Sunset Park High School,"Sunset Park Health Council, Inc.",153 35th St,Brooklyn,NY,11232-2307,718-840-1900,,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 282 School-Based Health Center,"Sunset Park Health Council, Inc.",180 6th Ave,Brooklyn,NY,11217-3507,718-230-5707,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 24 School-Based Health Center,"Sunset Park Health Council, Inc.",427 38th St,Brooklyn,NY,11232-2514,718-832-9449,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Dewey MS 136 School-Based Health Center,"Sunset Park Health Council, Inc.",4004 4th Ave,Brooklyn,NY,11232-3402,718-965-0118,http://www.lmcmc.com,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
Joseph P. Addabbo Family Health Center at Richards Street,THE ADDABBO JOSEPH P FAMILY HEALTH CENTER INC,120 Richards St,Brooklyn,NY,11231-1635,718-945-7150,http://www.addabbo.org,Yes,Yes,"As of 05/15/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 15 School-Based Health Center,"Sunset Park Health Council, Inc.",71 Sullivan St,Brooklyn,NY,11231-1600,718-788-6572,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
PS 169 School-Based Health Center,"Sunset Park Health Council, Inc.",4305 7th Ave,Brooklyn,NY,11232-3954,718-854-6718,http://nyulangone.org/locations/family-health-centers-at-nyu-langone/school-health-program-family-health-centers-at-nyu-langone,Yes,Yes,"As of 08/07/2020, this health center reported providing COVID-19 testing and services via telehealth at one or more sites. Please call the center for more information."
